㕘,sam1
㕙,jeun3
㕚,jau2
㕛,jaau5
㕜,sei3
㕜,si2
㕞,chat3
㕟,waai2
㕠,seung1
㕡,hang1
㕡,kok3
㕣,jin2
㕤,gwaai2
㕤,kaau4
㕥,jyu5
㕦,jyu5
㕦,wa6
㕧,si1
㕨,fan6
㕩,jeung3
㕪,daam2
㕫,fong2
㕬,jung6
㕭,au3
㕭,yaau1
㕮,fu2
㕯,neut6
㕰,huk6
㕰,ma3
㕱,jaau4
㕲,jing4
㕲,muk1
㕳,hung1
㕴,chaam4
㕵,gwok3
㕶,ng6
㕷,pak1
㕸,lai6
㕸,lap6
㕹,faat6
㕺,hiu1
㕻,faau2
㕻,fu3
㕻,taau3
㕼,dung6
㕼,hung1
㕽,chek3
㕽,chi5
㕽,yi5
㖀,laak6
㖀,lak6
㖁,leun6
㖂,jaai6
㖃,haam1
㖃,haau3
㖃,haau6
㖄,jaau1
㖄,jaau3
㖄,jaau3
㖅,seut1
㖆,kuk1
㖇,ji4
㖏,nip6
㖐,do6
㖐,hei3
㖐,waai2
㖑,hai6
㖒,taai4
㖓,hung4
㖔,taan1
㖕,jip6
㖕,jit6
㖖,jip6
㖖,jit6
㖖,saan1
㖗,jaam4
㖘,san2
㖘,seun2
㖞,wa1
㖟,saau6
㖠,nap6
㖠,no4
㖡,e6
㖡,je6
㖢,chi1
㖣,taau3
㖤,haam4
㖥,jeun1
㖥,kwaan3
㖥,leun1
㖦,dung2
㖧,faan1
㖨,luk6
㖩,jaau1
㖪,gwok3
㖫,ling4
㖭,tim2
㖮,leun4
㖮,leun4
㖶,jin1
㖶,jin3
㖶,jit3
㖷,taai4
㖸,keuk6
㖹,fu2
㖹,paan3
㖹,pun4
㖺,cheun2
㖻,jaau4
㖼,maau4
㖽,jak3
㖾,ngok6
㖿,che4
㖿,je4
㗀,jaau1
㗁,jit6
㗁,ngok6
㗂,sang2
㗃,maan4
㗃,maan5
㗄,man4
㗄,man6
㗄,ming4
㗅,wu4
㗆,gak3
㗇,ga5
㗇,ha4
㗈,man6
㗉,leuk6
㗊,leui4
㗊,lo4
㗋,haau4
㗌,jaat6
㗎,ga2
㗎,ga3
㗎,ga4
㗑,bai6
㗒,oi2
㗓,chi3
㗓,jeui1
㗔,hin1
㗕,gaau3
㗕,ngaau1
㗖,dam6
㗗,bai2
㗗,bei1
㗘,bok3
㗘,bok6
㗙,jaau1
㗚,lei6
㗚,leut6
㗛,siu3
㗜,chaau3
㗢,hung1
㗣,daai3
㗣,taai3
㗤,chuk1
㗥,kwok3
㗦,lou4
㗧,jaat6
㗨,aai2
㗨,hai6
㗩,chi1
㗫,chaai3
㗫,cham1
㗫,saam6
㗬,ja1
㗭,hei1
㗰,chung4
㗰,saai3
㗱,jap6
㗲,waak6
㗲,wok6
㗳,dap1
㗳,tap3
㗴,jin4
㗵,faat1
㗶,put3
㗷,choi3
㗻,go6
㗻,gwo1
㗻,gwo3
㗼,jip6
㗽,heung1
㗽,heung2
㗾,heui1
㗿,la4
㘀,jok3
㘁,jik6
㘂,chi4
㘅,ham4
㘆,toi4
㘇,jing2
㘇,wing4
㘈,ji4
㘉,jit3
㘊,chaau3
㘊,jaau2
㘊,juk1
